writing	reading	meaning	level
しゃべる	しゃべる	to talk, to speak, to chat, to chatter; to let secrets out	N3
邪魔	じゃま	a demon or devil of perversity, a hindrance to the practice of Buddhism; an obstacle, a hindrance, interference; a nuisance, a bother; a visit; to impede, to obstruct; to be a bother, obstacle, nuisance, hindrance	N3
週	しゅう	a week (unit of time); weeks; a male or female given name	N3
州	しゅう	first-level administrative division of some countries, such as: (1) state of the United States, Australia, India, Nigeria and Germany; (2) province of Canada; (3) canton of Switzerland; etc.; used in place names, usually associated with (historical) political divisions; continent; used in place names	N3
銃	じゅう	gun (firearm)	N3
周囲	しゅうい	surroundings; the surrounding area; a perimeter	N3
収穫	しゅうかく	harvest, crop; harvesting; result, gain obtained through some act(s) or endeavor; harvest, reap, bring in	N3
週間	しゅうかん	week; a specially designated seven-day period such as a Traffic Safety Week	N3
宗教	しゅうきょう	religion; the Buddha's doctrine and teachings; the doctrine and teachings of a specific Buddhist denomination	N3
重視	じゅうし	value, esteem, respect, stress; to value, to esteem, to treasure, to respect, take seriously, to attach importance to	N3
就職	しゅうしょく	finding employment, inauguration; to get hired	N3
ジュース	じゅーす	juice; any soft drink or other non-alcoholic beverage; alternative form of デュース (dyūsu, “deuce”)	N3
修正	しゅうせい	revision; correction; amendment; making changes to correct or improve; to revise; to correct; to amend; to make changes to correct or improve	N3
渋滞	じゅうたい	congestion, traffic jam; delay, stagnation; jam, become congested, back up	N3
重大	じゅうだい	important, significant; grave, solemn; importance, significance, seriousness, gravity	N3
住宅	じゅうたく	residence, house	N3
集団	しゅうだん	group	N3
集中	しゅうちゅう	concentration; concentrate	N3
収入	しゅうにゅう	income, earnings, receipts	N3
住民	じゅうみん	citizens; inhabitants	N3
重要	じゅうよう	important, significant; importance, consequence, significance	N3
修理	しゅうり	a repair; mend, fix, repair	N3
主義	しゅぎ	a principle or set of principles; a doctrine; an ism; -ism	N3
宿泊	しゅくはく	accommodation (lodging); accommodate	N3
手術	しゅじゅつ	an operation; surgery (procedure involving major incisions); to operate on; to perform surgery on	N3
首相	しゅしょう	a prime minister; a chancellor	N3
手段	しゅだん	procedure; method; way; a means (to an end)	N3
主張	しゅちょう	opinion, assertion, contention; maintain, argue, claim	N3
出身	しゅっしん	hometown, the place one comes from; the school from which one graduated; the group or organization from which one comes	N3
出版	しゅっぱん	the selling and distribution of printed works; publication, publishing; publish, issue, put out	N3
首都	しゅと	capital, capital city	N3
主婦	しゅふ	housewife, female homemaker	N3
主要	しゅよう	main, principal; centrality	N3
需要	じゅよう	need; requirement; demand	N3
種類	しゅるい	kind, sort, type; variety	N3
順	じゅん	order, sequence; obedience; order, sequence, turn; a male given name	N3
瞬間	しゅんかん	instant (period of time), the moment that something happens	N3
順調	じゅんちょう	satisfactory; favorable; favorable condition, smooth progress	N3
順番	じゅんばん	order, turn	N3
使用	しよう	use, usage; use, utilize	N3
小	しょう	smallness; small size, small (sometimes used as an abbreviation for small serving, etc.); short for 小の月 (shō no tsuki); during the Kamakura and Muromachi periods, a unit of field area equal to around 400 square metres; small, little; suffix after names of elementary schools; a surname	N3
章	しょう	chapter; section; badge	N3
賞	しょう	prize; prize, award	N3
上	じょう	the first volume in a two- or three-volume set; from the standpoint of...; aboard (a plane, ship, etc.); above, in, on; a surname	N3
障害	しょうがい	impediment, obstacle, handicap; obstruct	N3
奨学金	しょうがくきん	scholarship (study allowance); student loan	N3
乗客	じょうきゃく	passenger	N3
上京	じょうきょう	going to capital city; going to Tokyo; going to Kyoto; go to capital city; go to Tokyo; go to Kyoto	N3
状況	じょうきょう	situation (position vis-à-vis surroundings) of something that changes	N3
条件	じょうけん	terms, conditions, or requirements, as of a treaty or contract; terms or conditions of an agreement in general; condition	N3
正午	しょうご	noon, midday	N3
正直	しょうじき	honest (scrupulous with regard to telling the truth); honesty; honestly, to tell the truth	N3
常識	じょうしき	common knowledge; common sense	N3
少女	しょうじょ	a (young, little) girl; a style of anime and manga made for young women, shojo	N3
少々	しょうしょう	a small amount; Just a minute!	N3
症状	しょうじょう	a symptom; a patient's medical condition	N3
生じる	しょうじる	come about, occur, arise; result from, be caused by	N3
状態	じょうたい	the state or condition (of something at a certain time); (current) situation	N3
上達	じょうたつ	improvement in academic ability, the arts, etc.; communication of opinions of those of lower rank to those of higher; improve, advance in one's studies; communicate opinions to those of higher rank	N3
冗談	じょうだん	a joke	N3
上等	じょうとう	high-quality; first-class; superior; high quality; first class; superiority	N3
衝突	しょうとつ	collision, crash; conflict of opinion; to collide into, to collide with; to have a conflict with someone; to conflict	N3
商人	しょうにん	trader, shopkeeper, merchant	N3
承認	しょうにん	approval, recognition; approve	N3
少年	しょうねん	a boy, a young man	N3
商売	しょうばい	business; occupation	N3
消費	しょうひ	consumption, expenditure; consume, spend, use	N3
商品	しょうひん	item or commodity for sale, merchandise	N3
消防	しょうぼう	fire fighting, firefighting; short for 消防署 fire station, fire department, firehouse	N3
情報	じょうほう	information; news; gossip	N3
証明	しょうめい	proof; evidence; verification; proof; to prove; to confirm; to prove	N3
女王	じょおう	a Japanese prince's unmarried daughter who is descended from the reigning emperor through no more than five generations (\"princes\" include 親王 (shinnō) or 王 (ō)); a Japanese prince's unmarried daughter who is descended from the reigning emperor through no more than three generations (thus, the emperor's granddaughter or niece; \"princes\" only include 親王 (shinnō)); a queen regnant; a queen (reproductive female animal in a hive)	N3
職	しょく	employment; class; occupation	N3
職業	しょくぎょう	occupation, trade, profession, business	N3
食卓	しょくたく	dining table	N3
食品	しょくひん	food, foodstuff	N3
植物	しょくぶつ	a plant; vegetation	N3
食物	しょくもつ	food, foodstuff; food and drink	N3
食欲	しょくよく	appetite (desire of or relish for food)	N3
食料	しょくりょう	food	N3
食糧	しょくりょう	food, dietary provisions; provisions of rice or wheat on a military campaign	N3
書斎	しょさい	a reading room, a study, a den	N3
女子	じょし	girl; woman	N3
助手	じょしゅ	assistant, helper; an assistant to a professor (but not a professor themselves)	N3
徐々に	じょじょに	slowly,little by little,gradually,steadily,quietly	N3
署名	しょめい	signature; digital signature; to sign	N3
書物	しょもつ	books, writing	N3
女優	じょゆう	female actor, actress	N3
処理	しょり	processing; handling; dealing with; to process; to handle; to deal with	N3
書類	しょるい	documents, papers	N3
知らせ	しらせ	notice, notification, news	N3
尻	しり	behind; the end; the rear portion of the body: bottom, buttocks; the bottom or underside of an object; suffix in certain surnames	N3
印	しるし	stamp, seal; trace, mark, sign; printing; short for 印度 (Indo, “India”); mudra; symbolic hand gesture	N3
城	しろ	castle	N3
進学	しんがく	entering the next level of school, often university; go on to the next level of school	N3
神経	しんけい	sensitivity; nerve	N3
真剣	しんけん	serious, sincere, intense, honest; seriousness; a real metal sword, as opposed to a wooden or bamboo sword	N3
信仰	しんこう	belief, faith; to have faith in a religion, to profess faith in	N3
信号	しんごう	a signal; traffic lights	N3
人工	じんこう	man-made; artificial	N3
深刻	しんこく	serious, deep, heavy (topic), profound (change), weighty (matter); seriousness	N3
診察	しんさつ	medical examination; to examine (medically)	N3
人種	じんしゅ	race; ethnicity	N3
信じる	しんじる	to believe; to trust; to believe in (God, etc.)	N3
人生	じんせい	life; Literally, person's past. Used when speaking about the former life of a dead person.	N3
親戚	しんせき	relative	N3
新鮮	しんせん	fresh; freshness	N3
心臓	しんぞう	a heart	N3
身体	しんたい	body	N3
身長	しんちょう	height; stature (the tallness of a person)	N3
慎重	しんちょう	the way in which one is careful, thoughtful; prudent, discreet; the quality in which one is careful, thoughtful; prudence, discretion	N3
審判	しんぱん	trial; referee, umpire; Judgement; to judge; to referee	N3
人物	じんぶつ	person, figure, personage; someone's character	N3
進歩	しんぽ	progress; improvements in social welfare.; personal progress, usually in the development of a skill.; To improve (in reference to a society's technological capability or general quality of life).; To advance in proficiency; to make progress in the development of a skill.	N3
親友	しんゆう	close friend, bosom buddy; crony, chum	N3
信用	しんよう	belief, trust, confidence; reliance; to believe, to trust; to rely on	N3
信頼	しんらい	reliance, trust, confidence; to trust	N3
心理	しんり	mental state, mentality; psychology	N3
人類	じんるい	mankind, the human race, humanity	N3
巣	す	nest	N3
図	ず	diagram, figure, illustration	N3
水準	すいじゅん	the sufficient level; level, standard	N3
推薦	すいせん	recommendation; to recommend	N3
スイッチ	すいっち	switch, a device to turn electric current on and off or direct its flow; switch of a railroad, point of a railroad; a change in method or thinking; network switch	N3
随分	ずいぶん	extremely, considerably, very	N3
睡眠	すいみん	sleep	N3
数	すう	number; several	N3
数字	すうじ	a digit (numeral); a numeral; a figure, a thing expressed as a number (e.g. television viewership, score of games or sales)	N3
スープ	すーぷ	soup (non-Japanese cuisine)	N3
末	すえ	the tip or top of a plant; a twig or shoot; a treetop; the tip or end of something; the top or peak of a mountain; the edge or verge of a road or field; a descendant; the future, later, after; the end of a period of time; old age, the end period of a lifetime; a degraded world, a world with low morals and corrupt politics; the end of a month, the latter third of a month; some time considerably later; the result, outcome, or trace, remains of something having been done; the direction in which someone has gone or will go; the youngest or last child; youth, childhood; the lowest seat, the seat at the foot of a table; the lowest rank; the last two seven-mora stanzas or lines of a 短歌 (tanka) poem; the end of a sentence or word; the latter portion of a book or serial; the origin, the starting point; the interior rooms of a palace or manor where maids worked; a maid who worked in such a household; a low class or grade; an item of low class or grade; something minor, a trifle; downstream; in a 神楽 (kagura) performance, the seats on the right side facing the altar or shrine; the performers playing in these seats	N3
姿	すがた	figure, appearance, form, aspect, shape	N3
スキー	すきー	a ski; skiing	N3
救う	すくう	to save, to rescue, to relieve; 済う: to take care of the poor; to get someone back on the right track	N3
優れる	すぐれる	be good at (a thing); be superior to (a person)	N3
スケート	すけーと	skates; skating; roller skates	N3
すごい	すごい	horrible, dreadful, ghastly; terrific, terrible, awful; amazing, splendid, fantastic, great; striking, remarkable; greatly, wonderfully	N3
少しも	すこしも	anything of, not one bit	N3
過ごす	すごす	spend, pass (time); have (a holiday); do something too much, carry something too far	N3
筋	すじ	muscle; tendon; have an aptitude; vein; road; Counter for long, thin things.	N3
進める	すすめる	promote, pursue, move forward with, advance	N3
勧める	すすめる	suggest, recommend, advise; offer food, drink or the use of something; promote (industry etc.)	N3
スター	すたー	a star (luminous celestial body); an asterisk; a star (famous person in the media like an actor or athlete); Multiple tracks emitted radially from the one point on the nuclear plate which caused by the collision of the high-energy elementary particles with the nucleus to emit the hadrons in all directions.; asterism	N3
スタイル	すたいる	style; a woman's figure, a man's physique	N3
スタンド	すたんど	stand (device to hold something upright or aloft); desklamp, floor lamp; grandstand; stand (small building or booth), usually for selling something; stand (designated spot where someone or something may stand or wait), bleachers; short for ガソリンスタンド (gasorin sutando, “gas station, petrol station”)	N3
頭痛	ずつう	a headache (pain or ache in the head)	N3
ずっと	ずっと	by far; much (better, etc.); continuing for a long time; long-lasting; forever; always; for the entire time	N3
すてき	すてき	lovely,dreamy,beautiful,great	N3
既に	すでに	already	N3
すなわち	すなわち	即ち, 即, 乃ち, 乃: namely; 即ち, 即, 乃ち, 乃: that is to say, i.e.; 則ち, 則: conjunction used to indicate sequence of events; and; 輒ち: promptly, easily	N3
素晴らしい	すばらしい	terrific, wonderful, splendid, grand, magnificent; extreme, terrible	N3
スピーチ	すぴーち	a speech, an address, a talk	N3
全て	すべて	entirely, completely; all; in general, approximately; at all, completely; everything, all	N3
済ませる	すませる	synonym of すます	N3
角	すみ	a corner (e.g., of a desk; compare 隅); an edge; a street corner; a surname; angle; cape, headland, point; A bishop (shogi). Abbreviation of 角行.; horn, antler	N3
すみません	すみません	sorry! (in apology, more formal than ごめんなさい (gomennasai)); excuse me! (attempting to get someone's attention); thank you! (in the case of someone having done something for you)	N3
鋭い	するどい	sharp (of a blade etc.); pointed, penetrating (question etc.); sharp, perceptive	N3
背	せい	height	N3
正	せい	correctness	N3
生	せい	a living; life; a student; born in	N3
性	せい	sex, gender; gender; -ity, -ness, the nature of quality or something	N3
所為	せい	cause, reason, fault	N3
税	ぜい	tax, duty, customs (money paid to the government)	N3
性格	せいかく	character of human (personality), or of things.	N3
正確	せいかく	accurate; exact; correct; precise; accuracy; exactness; correctness; precision	N3
世紀	せいき	century (100 years); century	N3
請求	せいきゅう	a strong request; a demand, a claim on the basis of some authority (especially for payment); to make a demand or strong request; to make a demand on the basis of some authority, to make a claim	N3
税金	ぜいきん	tax; duty	N3
清潔	せいけつ	clean; hygienic; cleanliness	N3
制限	せいげん	limit, restriction; to limit, to restrict	N3
成功	せいこう	success; success in life, achievement in the world; succeed; be successful in life	N3
正式	せいしき	formal, official; formality	N3
精神	せいしん	psyche; spirit; soul; mind; will	N3
成人	せいじん	an adult; a grown-up; to reach adulthood; to come of age	N3
精々	せいぜい	at best, at most	N3
成績	せいせき	results, score, achievements, performance, record, grades	N3
製造	せいぞう	manufacturing; manufacture	N3
贅沢	ぜいたく	luxury; extravagance; to live a luxurious life, to live a life of luxury	N3
成長	せいちょう	growth; maturation; grow; grow up, become big	N3
制度	せいど	system; institution	N3
青年	せいねん	a young man; a youth	N3
製品	せいひん	manufactured goods,finished goods	N3
政府	せいふ	government; cabinet	N3
生物	せいぶつ	an organism; a life form	N3
生命	せいめい	life; one's existence	N3
整理	せいり	organizing something in orderly fashion; corporate downsizing; dissolution; straighten, organize, coordinate; wind up, liquidate a business	N3
咳	せき	a cough	N3
石炭	せきたん	coal	N3
責任	せきにん	responsibility; duty	N3
石油	せきゆ	oil, petroleum; kerosene	N3
世間	せけん	society, public	N3
説	せつ	theory	N3
積極的	せっきょくてき	proactive, positive, active, constructive	N3
設計	せっけい	plan; design; to plan out, to lay out a plan; to draw up plans for, to design	N3
絶対	ぜったい	absolute, limitless; certain, definite; absolutely, definitely, certainly; absoluteness, an absolute, unlimitedness	N3
セット	せっと	a set	N3
設備	せつび	building services, equipment, utilities, facilities; to equip, to furnish, to provide with something	N3
絶滅	ぜつめつ	extinction; annihilation; elimination; to go extinct; to be annihilated; to be eliminated	N3
節約	せつやく	frugality; economize	N3
是非	ぜひ	right and wrong; certainly, without fail, by all means; please	N3
責める	せめる	to blame; to scold; to pester, to press someone to do something; to torment	N3
善	ぜん	good, good deed	N3
全	ぜん	entire, complete, overall; all, pan-, omni-	N3
全員	ぜんいん	everybody; all members	N3
専攻	せんこう	academic major; specialize in, major in	N3
全国	ぜんこく	the whole country; the entire nation; nationwide; countrywide; all of Japan	N3
先日	せんじつ	the other day	N3
前者	ぜんしゃ	the former	N3
選手	せんしゅ	player, at variety of sports, or games.	N3
前進	ぜんしん	advance, advancement, progress; to advance, to progress	N3
センター	せんたー	a center (point equidistant from all points on the perimeter of a circle or on the surface of a sphere); a center (middle portion of something); a center (point on a line midway between the ends); a center (place where a function or activity occurs); synonym of 中堅手 (chūkenshu, “center fielder”); ellipsis of センターポジション (sentā pojishon, “member in an idol group who is the center of focus”)	N3
全体	ぜんたい	the whole, entire; originally, from the beginning	N3
選択	せんたく	a selection; a choice; an option; to select; to choose	N3
然う	そう	so, like that, in such a way, such; yes, yeah; it's like that; that's how it is; I see. (interjection to show that the speaker is paying attention); seem, seem like, appear; apparently, heard that (relating something heard from someone or somewhere else)	N3
象	ぞう	elephant	N3
騒音	そうおん	noise, disorder	N3
増加	ぞうか	increasing (increased amount); increase (in quantity or volume)	N3
操作	そうさ	maneuver, operate; to operate (machinery)	N3
想像	そうぞう	imagination; guess, suppose; imagine	N3
相続	そうぞく	succession or inheritance of a position, for example as head of a household or organization, or in a specific role; succession or inheritance of the assets and liabilities of a deceased person (the act of inheriting, rather than the thing inherited); the act of carrying on with an action, or of continuing to do something without cease; to succeed to or inherit a position, for example as head of a household or organization, or in a specific role; to inherit the assets and liabilities of a deceased person	N3
装置	そうち	equipment; device	N3
相当	そうとう	corresponding; proportional; suitable, appropriate; substantial, considerable; suitable; worth; corresponding to/equivalent; more than average; correspond to; be proportional to; suit, be appropriate for; quite; rather; considerably	N3
速度	そくど	speed; velocity; velocity	N3
底	そこ	the bottom	N3
そこで	そこで	so, then, in that case	N3
組織	そしき	organization (a group of people with a purpose); system (a group of people); tissue (a group of similar cells that function together to do a specific job); to organize something	N3
注ぐ	そそぐ	to pour into, to fill; to sprinkle on, to water something; to concentrate effort, to focus energy; for rain or snow to fall	N3
育つ	そだつ	be raised, grow up; to grow; nurture, train (professionals)	N3
そっくり	そっくり	identical; spitting image; exactly equal; all, entire, everything; as is, just as it is, as it is now	N3
そっと	そっと	softly, gently, quietly	N3
袖	そで	a sleeve, an arm (of an article of clothing); a wing of a building; a wing of a stage; the portion of a desk that extends to either side of one's lap, and that usually contains drawers or shelves; a female given name; a surname	N3
備える	そなえる	to prepare; to furnish	N3
そのうち	そのうち	eventually,sooner or later,of the previously mentioned	N3
そのまま	そのまま	as is; as it is; without modification	N3
ソファー	そふぁー	alternative form of ソファ	N3
粗末	そまつ	coarse, rough, plain, poor, shabby; to neglect; coarseness, roughness	N3
それぞれ	それぞれ	each, every, either, respectively, severally	N3
それでも	それでも	still, nevertheless, even so	N3
それと	それと		N3
それとも	それとも	or; or else	N3
損	そん	loss (opposite of gain)	N3
損害	そんがい	damage; loss; to suffer damage or loss	N3
尊敬	そんけい	respect, reverence, honor; to respect, to revere, to honor	N3
存在	そんざい	existence; being; entity; to exist	N3
尊重	そんちょう	respect, esteem; have respect for	N3
田	た	rice paddy; cultivated field; A surname	N3
他	た	another, other, some other	N3
対	たい	versus	N3
大	だい	big, large; the large part of; arch-; abbreviation of 大学 (daigaku, “university”)	N3
台	だい	machines, especially vehicles or computers; tables, beds; level, especially of price; period of time in a person's life	N3
題	だい	title; theme; issue; problem; questions on a test; question on a test; calligraphy by	N3
体育	たいいく	physical education; physical exercise	N3
体温	たいおん	body temperature	N3
大会	たいかい	convention; rally; mass meeting; tournament, a meet	N3
大気	たいき	an atmosphere	N3
代金	だいきん	fee, payment, charge, price	N3
退屈	たいくつ	tedious; boring; dull; tediousness, monotony; boredom, dreariness; be bored	N3
滞在	たいざい	stay; to make a stay, to sojourn	N3
大使	たいし	ambassador	N3
大した	たいした	big, quite, very great, considerable	N3
対象	たいしょう	object, target (of worship, study, etc.); subject (of taxation, etc.)	N3
大臣	だいじん	a government minister of Japan or ancient China; a senior minister or superior in the 太政官 (Daijō-kan, “Great Council of State”), namely the 太政大臣 (daijō-daijin), 左大臣 (sadaijin), 右大臣 (udaijin), and 内大臣 (naidaijin)	N3
対する	たいする	to pertain to; face each other; be in response to, be against	N3
大戦	たいせん	a great war, a great battle	N3
態度	たいど	attitude toward, stance; behavior, manner	N3
大統領	だいとうりょう	a president (the head of state of a republic)	N3
大半	たいはん	the greater part, most of	N3
代表	だいひょう	a representative, representation, delegation, example; a typification; to represent, stand for; to typify	N3
大部分	だいぶぶん	the greater part, the most part, large part	N3
タイプライター	たいぷらいたー	a typewriter (machine used to print text by pressing keys)	N3
逮捕	たいほ	arrest (of a person); to arrest someone	N3
ダイヤ	だいや	clipping of ダイヤモンド (daiyamondo, “diamond”); diamonds; clipping of ダイヤグラム (daiyaguramu, “posted schedule for a form of transportation such as a train or airplane”); timetable; a dyer	N3
太陽	たいよう	the sun; greater yang (⚌); the Sun	N3
平ら	たいら	flat, even, level, smooth, having no variation in altitude; stable, calm, at peace; relaxed, lacking formality; flatness	N3
代理	だいり	surrogation, proxy; proxy; to act in place of	N3
大陸	たいりく	a continent; China	N3
倒す	たおす	fell; throw down; knock down; cause something upright to become horizontal; kill; defeat; overthrow; avoid paying (a debt); to a great extent	N3
タオル	たおる	towel	N3
だが	だが	though, although, however, but, be that as it may, that said	N3
互い	たがい	a mutual relationship, doing with each other	N3
宝	たから	treasure	N3
宅	たく	home; husband	N3
だけど	だけど	informal form of だけれども (da keredomo)	N3
確かめる	たしかめる	to verify, to find out, to confirm	N3
多少	たしょう	little, somewhat, rather, quite; amount, number	N3
助ける	たすける	to help; to assist; to save; to rescue	N3
只	ただ	only; simply; just	N3
唯	ただ	only, solely; a female given name; a surname; polite particle used to respond to elders: yes	N3
戦い	たたかい	a fight, battle, or by extension, a war; a match, competition, contest, or race; any conflict or strife; an army or military; troops	N3
戦う	たたかう	to battle, to fight, to wage war; to compete (in a match, for example); to contend (for one's own interests); to get through with one's sufferings or difficulties; to hit or strike repeatedly	N3
叩く	たたく	to hit; to strike; to beat; to paddle (to spank with a paddle); to criticize; to verbally abuse or attack; to play (drums); to beat; to clap (hands); to call (an API)	N3
直ちに	ただちに	immediately, instantly	N3
立ち上がる	たちあがる	to stand up, to get up; to take action; to recover (from defeat, something painful, etc.); to end warming up (shikiri) and start a match; to boot	N3
立場	たちば	position	N3
経つ	たつ	to pass	N3
達する	たっする	reach, get up to	N3
たった	たった	only; Verb suffix for past actions.	N3
だって	だって	Indicating a certain object is included not as an exception, but in the general case; even, also; Indicating the things listed are in the same category; for example, things like; Expressing the idea that there are no exceptions; no matter; Used to emphasize a sense of disapproval or surprise.; Used to make an argument or give an excuse while expecting the other party's opposition or counterargument; but, however; even so; the reason is; I mean; after all	N3
たっぷり	たっぷり	full; plenty; abundant; leeway	N3
例え	たとえ	example, simile, metaphor, allegory, parable; even if	N3
谷	たに	a valley (elongated depression between hills or mountains); a trough (low portion of a wave cycle); an intersection of two receding roof slopes; a surname	N3
他人	たにん	other people; stranger	N3
種	たね	a seed; a pit or stone in a fruit; a gamete (reproductive cell such as a spermatozoan or egg); a lineage, bloodline; an origin, cause; the materials or ingredients from which something is made; capital, funds, seed money; a female given name; a surname	N3
束	たば	counter for bundles; bundle, bunch, batch, sheaf, coil	N3
度	たび	time; whenever; times; time	N3
旅	たび	a journey; travel; a temporary time spent in a place; a place where a 神輿 (mikoshi, “portable shrine”) spends a temporary time outside of the 本宮 (hongū, “main shrine building”) during a 祭り (matsuri, “festival”); to travel, to go on a journey or trip	N3
たびたび	たびたび	often,repeatedly,frequently	N3
玉	たま	any spherical or similarly-rounded object:; a ball; an orb; a sphere; a bead of an abacus; lens; a bullet; an egg, especially of a chicken; a gem, jewel; an object of value; a female entertainer (geisha, prostitute, etc.); short for 金玉 (kintama): testicles; counter for ramen and udon for one person; a place name; a female given name	N3
球	たま	ball; bulb (as in a light bulb); vacuum tube, valve; pitch	N3
弾	たま	pellet, bullet, shot, shell; bounce, bound; round (stage); projectile	N3
偶	たま	occasional; rarity	N3
偶々	たまたま	unexpectedly, by chance; luckily	N3
たまらない	たまらない	unbearable, intolerable, unendurable; tremendous, irresistible	N3
黙る	だまる	to be silent; being without permission; to put up with; to bear	N3
駄目	だめ	no good; useless; hopeless; inadvisable; not to be done; a territory that belongs to neither player when the game ends; synonym of 呼吸点	N3
試し	ためし	try, attempt, trial, test; stem or continuative form of 験す (tamesu)	N3
試す	ためす	to test, to try	N3
便り	たより	news from, correspondence	N3
頼る	たよる	rely, depend; count on	N3
段	だん	steps (up and down); stairs; rating; ranking; row; line (of text); multiplication table; the equivalent to a column in Western layout, but that can be horizontal or vertical depending on the writing direction; -th rank, -th degree black belt (in karate, judo, etc.); a section (horizontal line) in the gojūon table, which consists of kana that have or historically have had the same vowel; a unit in newspaper typesetting, equal to 1408 mils, ¹⁴⁰⁸⁄₁₀₀₀ in, 128 U (U) and 16 倍 (bai)	N3
単位	たんい	unit of measure; unit (an organized group); academic credit	N3
単語	たんご	a word, a shortest part that means something in a sentence; one's vocabulary, the set of words known by someone	N3
男子	だんし	a male, a guy	N3
単純	たんじゅん	simple; pure; free	N3
誕生	たんじょう	birth; creation; formation; be born, come into the world	N3
ダンス	だんす	a dance	N3
団体	だんたい	an organization; a group	N3
担当	たんとう	charge of, end, responsibility for an area of work; one who is in charge; host / hostess who attends to a patron; be in charge, handle an area of responsibility	N3
単なる	たんなる	mere, sheer, just, simple, pure	N3
単に	たんに	simply; only	N3
地	ち	earth, land, ground; a place, a region, a piece of land; territory, dominion; the bottom; the bottom margin; place, area	N3
地位	ちい	position in society, social standing, social status; the location or site of something	N3
地域	ちいき	area, district, particular geographic region	N3
チーズ	ちーず	cheese (dairy product); cheese (said while being photographed)	N3
チーム	ちーむ	team	N3
知恵	ちえ	wisdom, intelligence	N3
地下	ちか	underground; subterranean	N3
違い	ちがい	difference; difference, discrepancy; stem or continuative form of 違う (chigau); being different	N3
違いない	ちがいない	(phrase) sure,no mistaking it,for certain	N3
近頃	ちかごろ	lately, recently, of late	N3
地球	ちきゅう	Earth; Terra	N3
地区	ちく	zone (area distinguished on the basis of a particular characteristic etc)	N3
遅刻	ちこく	lateness, late coming; to be late	N3
知事	ちじ	prefectural governor	N3
知識	ちしき	knowledge	N3
父親	ちちおや	father	N3
知能	ちのう	intelligence, intellectual faculties	N3
地平線	ちへいせん	horizon on land	N3
地方	ちほう	district, province, area; krai	N3
茶	ちゃ	tea; synonym of 茶の木 (cha no ki, “tea plant, Camellia sinensis”); brown	N3
チャンス	ちゃんす	chance (an opportunity or possibility)	N3
ちゃんと	ちゃんと	as one should; properly; always, regularly, punctually	N3
中	ちゅう	the middle, medium; an average, neither good nor poor mark; the second volume of a three-volume set; during..., being in the process of doing...	N3
注	ちゅう	annotation, note	N3
中央	ちゅうおう	center/centre, middle; Chūō (one of 23 special wards in Tokyo prefecture, Japan)	N3
中学	ちゅうがく	middle school (7th through 9th years overall)	N3
中古	ちゅうこ	a secondhand or used item; medieval times (in Japanese history, including the Heian period); short for 中古日本語 (Chūko Nihongo): Heian period Japanese; Early Middle Japanese	N3
中止	ちゅうし	stoppage, termination, discontinuation; interruption, suspension, pause; cancellation; to stop, to terminate, to discontinue; to interrupt, to suspend, to pause; to call off, to cancel	N3
駐車	ちゅうしゃ	parking, especially of cars; to park	N3
昼食	ちゅうしょく	lunch, luncheon	N3
中心	ちゅうしん	center, middle, heart, core (physical center); center, hub (most important area of activity); crux, main point	N3
注目	ちゅうもく	attention, notice; to notice; to take notice	N3
注文	ちゅうもん	a request for some product or service; order.; to order, to place an order	N3
長期	ちょうき	a long period; long-term	N3
調査	ちょうさ	investigation, examination, inspection, inquiry, enquiry, survey; to investigate, to examine, to inspect, to inquire, to survey	N3
調子	ちょうし	condition, state, fettle, kilter; tune, tone, key, pitch, time, rhythm	N3
頂上	ちょうじょう	summit, top	N3
頂戴	ちょうだい	a humble submission, a humble contribution made to someone of higher status; a humble reception or receiving of something; to request: compare English please, gimme; to receive something; to eat, to have a meal	N3
貯金	ちょきん	putting money aside, savings, deposit; to save money	N3
直接	ちょくせつ	direct; directness	N3
著者	ちょしゃ	author	N3
遂に	ついに	finally, at last; in the end	N3
通過	つうか	passage through an object; passage of a test in school; passage of a bill; passage through a screening; pass through something; pass a test; pass a bill; pass a screening	N3
通学	つうがく	commuting to school; commute to school	N3
通行	つうこう	traffic, passage; pass, go through	N3
通じる	つうじる	to run to, to lead to; to communicate, to reach; to understand	N3
通信	つうしん	communication; correspondence; news; to communicate (generally using an electronic device)	N3
捕まる	つかまる	be caught	N3
掴む	つかむ	to grab; to grip, take hold of; to accept (a bribe); to abduct, kidnap; to capture, grasp (imagination, hearts, opportunities, etc.)	N3
疲れ	つかれ	tiredness; fatigue	N3
付き合い	つきあい	friendship, association	N3
次々	つぎつぎ	one after another	N3
就く	つく	assume power, accede, fill a position, take a job; start some work, commence; apprentice under someone; about, concerning	N3
注ぐ	つぐ	to pour into something; to serve food, to dish out food, to fill a container with food	N3
土	つち	earth, soil, mud; the ground	N3
続き	つづき	sequel; continuation	N3
包み	つつみ	package; parcel; stem or continuative form of 包む (tsutsumu, “to wrap”); bank (edge of river, lake or other watercourse); a surname	N3
勤め	つとめ	duty, responsibility, work; Buddhist service; sutra chanting; prostitute service	N3
務め	つとめ	alternative form of 勤め	N3
繋ぐ	つなぐ	to bind, to fasten, to tie; to connect, to tie together, to join; to put through, to connect (a phone call); to connect (e.g. WiFi); to keep (hope etc.) going, to keep alive; to hold (hands)	N3
常に	つねに	always	N3
翼	つばさ	a wing (of a bird or bat); a bird; an airfoil, wing; an aircraft; a unisex given name; a surname	N3
